,cluster,Univ,State,SAT,Top10,Accept,SFRatio,Expenses,GradRate
0,Tier1,Brown,RI,1310.0,89,22,13.0,22704,94.0
1,Tier1,CalTech,CA,1415.0,100,25,6.0,63575,81.0
2,Tier1,CMU,PA,1260.0,62,59,9.0,25026,72.0
3,Tier1,Columbia,NY,1310.0,76,24,12.0,31510,
4,Tier1,Cornell,NY,1280.0,83,33,13.0,21864,90.0
5,Tier1,Dartmouth,NH,1340.0,89,23,10.0,32162,95.0
6,Tier1,Duke,NC,1315.0,90,30,12.0,31585,95.0
7,Tier1,Georgetown,DC,,74,24,12.0,20126,92.0
8,Tier1,Harvard,MA,1400.0,91,14,11.0,39525,97.0
9,Tier1,JohnsHopkins,MD,1305.0,75,44,7.0,58691,87.0
10,Tier1,MIT,MA,1380.0,94,30,10.0,34870,91.0
11,Tier1,Northwestern,IL,1260.0,85,39,11.0,28052,89.0
12,Tier1,NotreDame,IN,1255.0,81,42,13.0,15122,94.0
13,Tier2,PennState,PA,1081.0,38,54,18.0,10185,80.0
14,Tier1,Princeton,NJ,1375.0,91,14,8.0,30220,95.0
15,Tier2,Purdue,IN,1005.0,28,90,19.0,9066,69.0
16,Tier1,Stanford,CA,1360.0,90,20,12.0,36450,93.0
17,Tier2,TexasA&M,TX,1075.0,49,67,25.0,8704,67.0
18,Tier1,UCBerkeley,CA,1240.0,95,40,17.0,15140,78.0
19,Tier1,UChicago,IL,1290.0,75,50,,38380,87.0
20,Tier1,UMichigan,MI,1180.0,65,68,16.0,15470,85.0
21,Tier1,UPenn,PA,1285.0,80,36,11.0,27553,90.0
22,Tier1,UVA,VA,1225.0,77,44,14.0,13349,92.0
23,Tier2,UWisconsin,WI,1085.0,40,69,15.0,11857,71.0
24,Tier1,Yale,CT,1375.0,95,19,11.0,43514,96.0
